Requirement ID,Source file,Source section,Requirement,Priority,Mandatory,Affected app/package,Code path,API path,DB entity/migration,Test ID,Evidence path,Status,Defect ID,Blocker,Notes
REQ-ROOT-001,User contract 2026-07-12,Fixed repository root,All work must happen only in salary-hijacking-platform,P0,TRUE,all,C:/Users/PC/Desktop/salary-hijacking-platform,,,QA-ROOT-001,docs/qa/100-completion/baseline-20260712/git-toplevel.txt,PASS,,,Verified by git rev-parse --show-toplevel
REQ-ROOT-002,User contract 2026-07-12,Forbidden old roots,Do not work in salary-hijacking-main or salary-hijacking-work,P0,TRUE,all,,,,QA-ROOT-002,docs/codex/100-completion/00_CURRENT_BASELINE_AUDIT.md,PASS,,,Old roots ignored
REQ-SEC-001,User contract / AGENTS,No secret values in evidence,Secret scans and reports must not print raw secret values,P0,TRUE,all,,,,QA-SEC-001,baseline-20260712/secret-scan-current-changes.json; iteration-002-20260712/security-scan.log,PASS,,,Secret-safe evidence and security scan passed.
REQ-APP-001,Known BUG-001,Expo Router tab routes,Tab route names must match actual folders and cold start must not crash,P0,TRUE,apps/mobile,apps/mobile/app/(tabs)/_layout.tsx,,,APP-SCREEN-CONTRACT,iteration-002-20260712/mobile-test-after-kst-krw.log,PASS,BUG-001,,Expo Router index tab names and launch route contract passed in mobile tests.
REQ-APP-002,Known BUG-003,Use planned/completed semantics,?ъ슜 ?덉젙 and ?ъ슜 ?꾨즺 state/labels must match domain semantics,P1,TRUE,"apps/mobile,services/api",apps/mobile/src/features/salary/components,,,SALARY-LAUNCH,iteration-002-20260712/mobile-test-after-kst-krw.log,PASS,BUG-003,,Salary launch readiness tests cover planned/completed button direction and state change.
REQ-APP-003,Known BUG-004,Variable expense persistence,Saved variable expense must persist across navigation and app restart,P1,TRUE,"apps/mobile,services/api,database","apps/mobile/src/features/salary,apps/mobile/src/features/budget",/api/v1/variable-expenses,variable_expenses,SALARY-LAUNCH; BUDGET-API,iteration-002-20260712/mobile-test-after-kst-krw.log; iteration-002-20260712/api-tests.log,PASS,BUG-004,,Variable expense form position and remount persistence are covered by mobile tests; API contract covers server-authoritative variable expense mutations.
REQ-APP-004,Known BUG-005,Plan detail CRUD,Plan sections must support item add/edit/delete with category/content/amount/date,P1,TRUE,"apps/mobile,services/api,database","apps/mobile/src/features/plan,services/api/src/routes",/api/v1/fixed-expenses; /api/v1/savings; /api/v1/daily-budgets,fixed_expenses/savings/daily_budgets,PLAN-LAUNCH; API-CONTRACT,iteration-002-20260712/mobile-test-after-kst-krw.log; iteration-002-20260712/api-tests.log,PASS,BUG-005,,Plan launch readiness and API tests cover add/update/delete persistence paths for fixed expenses savings and living cost sync.
REQ-APP-005,Known BUG-007,Keyboard avoidance,Input forms must stay above keyboard and safe areas,P1,TRUE,apps/mobile,"apps/mobile/src/features/salary/components,apps/mobile/src/features/plan/components,apps/mobile/app,apps/mobile/src/shared/components/AppShell.tsx,apps/mobile/src/features/auth/components/AuthVisualFrame.tsx",,,KEYBOARD-SAFEAREA-CONTRACT,docs/qa/100-completion/iteration-003-20260712/keyboard-safearea-contract-tests.log; release/evidence/mobile-ui/capture-summary.json; docs/codex/100-completion/108_ITERATION_098_KEYBOARD_INSET_CONTRACT.md,PASS,BUG-007,,"Shared AppShell, auth/login, Salary Home, and Plan input shells now use KeyboardAvoidingView safe-area offsets, automatic keyboard inset adjustment, interactive keyboard dismissal, handled keyboard taps, and bottom padding where applicable; device keyboard matrix remains tracked by REQ-UI-002."
REQ-APP-006,Known BUG-009,Notifications stack,Notification screen must hide bottom tabs and deep link correctly,P1,TRUE,apps/mobile,"apps/mobile/app/notifications/index.tsx,apps/mobile/src/features/notifications/components",,,NOTI-LAUNCH,iteration-002-20260712/mobile-test-after-kst-krw.log,PASS,BUG-009,,Notification launch readiness and screen wiring tests cover independent stack no bottom tab and deep-link callback.
REQ-FIN-001,docs/codex/04_SERVER_AUTHORITY_RULES.md,Financial calculation,"Payroll, budget, expense, savings, hijack amount calculations must be server-authoritative",P0,TRUE,"services/api,packages/db,apps/mobile",services/api/src/app.ts,/api/v1,payroll/budget/expense/savings,API-CONTRACT,iteration-002-20260712/api-tests.log; iteration-002-20260712/db-validate.log,PASS,BUG-SERVER-AUTH,,API contract and DB repository tests cover server-authoritative payroll daily budget fixed expense variable expense and savings routes.
